Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Bukit Jalil,429000,2,1,1044.044,Partly Furnished,Built-up,3,0,0,Apartment
Bukit Jalil,429000,2,1,1044.044,Partly Furnished,Built-up,3,0,0,Apartment
Cheras,508000,3,2,45.07,Unfurnished,Land area,5,0,0,Terrace/Link House
Cheras,338000,2,1,806.006,Partly Furnished,Land area,3,0,0,Condominium
Bukit Tunku (Kenny Hills),15000000,7,6,19700.0,Partly Furnished,Land area,6,1,0,Bungalow
Cheras,799999,3,2,45.07,Partly Furnished,Land area,4,0,0,Terrace/Link House
Cheras,810000,3,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House
Cheras,759000,3,2,47.07,Unfurnished,Land area,4,0,0,Terrace/Link House
Cheras,1388000,3,3,2170.07,Fully Furnished,Land area,5,1,0,Terrace/Link House
Cheras,1565000,5,2,49.575,Partly Furnished,Land area,5,0,0,Terrace/Link House
Cheras,395000,2,1,1126.026,Unfurnished,Land area,3,0,0,Condominium
Cheras,848000,3,2,48.575,Unfurnished,Land area,4,0,0,Terrace/Link House
Cheras,428000,2,1,925.025,Partly Furnished,Land area,3,0,0,Condominium
Cheras,910000,4,2,1650.05,Partly Furnished,Land area,6,0,0,Terrace/Link House
Cheras,759000,3,2,48.575,Unfurnished,Land area,4,0,0,Terrace/Link House
Kepong,1050000,5,3,45.07,Partly Furnished,Land area,6,0,0,Terrace/Link House
Jalan Sultan Ismail,400000,1,1,500.0,Fully Furnished,Built-up,0,0,1,Serviced Residence
KLCC,1300000,2,1,854.054,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,2480000,1,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2897500,2,1,1163.063,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,820000,3,2,1055.055,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2338800,4,2,3109.009,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1155000,2,1,625.025,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1280000,1,1,1030.03,Fully Furnished,Built-up,1,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),990000,4,2,1782.082,Fully Furnished,Built-up,4,0,0,Condominium
KLCC,1245000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1800000,4,2,1425.025,Partly Furnished,Built-up,4,1,0,Serviced Residence
Mont Kiara,1800000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1070000,2,1,1259.059,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1800000,3,3,1426.026,Fully Furnished,Built-up,3,0,0,Serviced Residence
KL City,1062800,1,1,625.025,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,9800000,6,3,7793.093,Fully Furnished,Built-up,5,2,0,Serviced Residence
KLCC,1580300,2,1,991.091,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1943888,1,1,808.008,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,1150000,2,1,1227.027,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1300000,1,1,910.01,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1000000,2,1,1281.081,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1280000,2,1,1335.035,Fully Furnished,Built-up,2,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),706562,2,1,704.004,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1492100,2,1,867.067,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1200000,1,1,569.069,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1600000,1,1,728.028,Fully Furnished,Built-up,1,0,0,Serviced Residence
Other,1747694,2,1,838.038,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,880000,1,2,883.083,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,1612400,2,1,1427.027,Partly Furnished,Built-up,2,0,0,Condominium
City Centre,1470300,1,1,1131.031,Fully Furnished,Built-up,0,0,1,Serviced Residence
Bukit Bintang,1250000,2,2,1200.0,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1745000,1,1,700.0,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1703888,1,1,679.079,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,820000,1,2,872.072,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,990000,1,1,990.09,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,1070000,2,1,1313.013,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1000000,2,1,777.077,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2150000,2,1,1350.05,Fully Furnished,Built-up,2,1,0,Serviced Residence
City Centre,1760000,2,1,1442.042,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2165000,4,2,1804.004,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,1000000,1,1,635.035,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,2068300,3,2,1591.091,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,970000,2,1,744.044,Fully Furnished,Built-up,2,1,0,Serviced Residence
KL City,1100000,2,2,1281.081,Fully Furnished,Built-up,3,0,0,Serviced Residence
KL City,750000,1,1,732.032,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1380000,2,1,793.093,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,1350000,2,2,1555.055,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1250000,1,1,569.069,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,840000,2,1,969.069,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,880000,2,1,1055.055,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1568000,2,1,871.071,Partly Furnished,Built-up,2,0,0,Condominium
Bukit Bintang,750000,1,1,696.096,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,750000,1,1,807.007,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,620000,1,1,635.035,Fully Furnished,Built-up,0,0,1,Serviced Residence
Bukit Bintang,820000,2,1,818.018,Fully Furnished,Built-up,1,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),613700,1,1,555.055,Partly Furnished,Built-up,1,0,0,Condominium
KLCC,1450000,2,1,1080.08,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,3917000,2,1,1399.099,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2725500,2,1,1114.014,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,781000,1,1,710.01,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2012800,2,1,1184.084,Partly Furnished,Built-up,2,0,0,Serviced Residence
KL City,1380000,2,1,887.087,Partly Furnished,Land area,2,0,0,Serviced Residence
KLCC,1800000,2,2,1270.07,Fully Furnished,Land area,2,0,0,Serviced Residence
Bukit Bintang,2433200,3,2,2111.011,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),731600,2,1,729.029,Partly Furnished,Built-up,2,0,0,Condominium
Jalan Klang Lama (Old Klang Road),857403,2,1,876.076,Partly Furnished,Built-up,2,0,0,Condominium
Dutamas,1130000,4,1,1876.076,Partly Furnished,Built-up,3,1,0,Condominium
Dutamas,1085000,4,1,1710.01,Partly Furnished,Built-up,3,1,0,Condominium
City Centre,2698000,4,1,2249.049,Fully Furnished,Built-up,3,1,0,Serviced Residence
City Centre,1965000,2,1,1624.024,Fully Furnished,Built-up,2,1,0,Serviced Residence
City Centre,1903000,2,1,1560.06,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2577000,4,2,2343.043,Partly Furnished,Built-up,4,1,0,Serviced Residence
KLCC,2216000,4,2,1927.027,Partly Furnished,Built-up,3,2,0,Serviced Residence
KLCC,4600000,4,1,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,4100000,3,1,1786.086,Partly Furnished,Built-up,3,0,0,Serviced Residence
KLCC,3336000,3,1,1668.068,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,800000,1,1,697.097,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,1113600,2,1,928.028,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1052400,2,1,877.077,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,975600,2,1,813.013,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,729600,1,1,608.008,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,815000,2,1,761.061,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,950300,2,1,731.031,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2038800,2,1,1190.09,Partly Furnished,Built-up,2,1,0,Serviced Residence
Dutamas,1147000,4,2,1875.075,Partly Furnished,Built-up,3,1,0,Condominium
Sentul,560000,2,2,1081.081,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,3450000,5,4,6000.0,Fully Furnished,Land area,5,1,0,Bungalow
Sri Hartamas,3600000,6,2,2000.0,Partly Furnished,Land area,4,1,0,Semi-detached House
Pantai,900000,2,2,1300.0,Partly Furnished,Built-up,3,0,0,Serviced Residence
Pantai,4500,2,2,1300.0,Partly Furnished,Built-up,3,0,0,Serviced Residence
Sungai Besi,1700000,5,4,3150.05,Partly Furnished,Land area,5,0,0,Terrace/Link House
Bukit Bintang,630000,2,1,1200.0,Partly Furnished,Built-up,3,0,0,Condominium
Ampang,340000,2,1,710.01,Partly Furnished,Land area,3,0,0,Townhouse
Sri Petaling,540000,2,2,2034.034,Fully Furnished,Land area,3,0,0,Condominium
Cheras,2000000,5,3,4500.0,Fully Furnished,Land area,6,0,0,Bungalow
KL City,1230000,2,1,1281.081,Fully Furnished,Built-up,3,0,0,Serviced Residence
Setapak,780000,3,2,1650.05,Fully Furnished,Built-up,4,0,0,Condominium
Setapak,560000,2,1,1247.047,Partly Furnished,Built-up,3,0,0,Condominium
Setapak,620000,2,2,1427.027,Partly Furnished,Built-up,3,0,0,Condominium
Sentul,1100000,3,2,1535.035,Fully Furnished,Built-up,3,2,0,Condominium
Dutamas,539000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Kepong,798000,2,6,64.006,Unfurnished,Land area,3,0,0,Terrace/Link House
Kepong,1280000,3,2,46.07,Partly Furnished,Land area,4,0,0,Terrace/Link House
Dutamas,675000,3,2,1625.025,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1700000,5,3,2648.048,Fully Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1800000,4,3,2657.057,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar,3980000,5,3,3613.013,Unfurnished,Built-up,3,1,0,Condominium
KL Sentral,1650000,1,1,1250.05,Fully Furnished,Built-up,1,1,0,Serviced Residence
Kuchai Lama,410000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
Seputeh,1200000,4,2,2600.0,Fully Furnished,Built-up,4,1,0,Condominium
Ampang,750000,3,2,2700.0,Partly Furnished,Built-up,4,1,0,Condominium
Titiwangsa,835000,2,1,1000.0,Fully Furnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,830000,2,1,826.026,Fully Furnished,Built-up,2,0,0,Serviced Residence
Puchong,765000,3,4,1400.0,Fully Furnished,Built-up,4,0,0,Terrace/Link House
Sungai Besi,508000,1,1,750.05,Fully Furnished,Built-up,1,0,0,Serviced Residence
Bukit Jalil,550000,2,2,1050.05,Fully Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,660000,2,2,1236.036,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,265000,2,1,780.08,Partly Furnished,Built-up,2,0,0,Apartment
Ampang,1250000,3,1,1400.0,Partly Furnished,Built-up,2,1,0,Condominium
Cheras,680000,3,3,51.08,Unfurnished,Land area,5,0,0,Terrace/Link House
KLCC,1100000,2,1,1138.038,Partly Furnished,Built-up,3,0,0,Condominium
City Centre,580000,1,1,700.0,Fully Furnished,Built-up,1,0,0,Condominium
City Centre,575000,1,1,700.0,Fully Furnished,Built-up,1,0,0,Condominium
Jalan Klang Lama (Old Klang Road),485000,2,2,1337.037,Partly Furnished,Built-up,3,1,0,Condominium
Cheras,1250000,3,1,1350.05,Partly Furnished,Built-up,3,1,0,Apartment
Bukit Jalil,670000,2,1,1200.0,Partly Furnished,Built-up,3,1,0,Condominium
Bangsar,1350000,2,1,1700.0,Unknown,Built-up,2,1,0,Condominium
Cheras,750000,2,2,979.079,Partly Furnished,Land area,3,0,0,Serviced Residence
Cheras,520000,2,1,720.02,Partly Furnished,Land area,2,0,0,Serviced Residence
Sri Hartamas,620000,2,2,1000.0,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,750000,2,1,979.079,Partly Furnished,Land area,3,0,0,Serviced Residence
Bukit Bintang,7800,4,2,2416.016,Fully Furnished,Built-up,4,0,0,Condominium
Damansara Heights,2100000,2,2,1668.068,Partly Furnished,Built-up,2,1,0,Serviced Residence
Batu Caves,1100000,3,2,1399.099,Partly Furnished,Built-up,3,0,0,Serviced Residence
Ampang,530000,2,1,1500.0,Fully Furnished,Built-up,3,0,0,Condominium
Seputeh,800000,2,1,1320.02,Fully Furnished,Built-up,3,0,0,Condominium
Cheras,550000,3,1,1010.01,Partly Furnished,Built-up,3,0,0,Condominium
Kuchai Lama,2200,3,2,1773.073,Partly Furnished,Built-up,3,1,0,Condominium
Wangsa Maju,2190000,4,3,3644.044,Fully Furnished,Built-up,4,1,0,Condominium
Sentul,520000,2,1,1011.011,Fully Furnished,Built-up,3,0,0,Condominium
Sri Petaling,480000,2,1,904.004,Partly Furnished,Land area,3,0,0,Apartment
Setapak,398000,2,2,1200.0,Partly Furnished,Built-up,3,0,0,Townhouse
Setapak,320000,2,1,880.08,Partly Furnished,Built-up,3,0,0,Apartment
Setapak,680000,3,2,1303.003,Partly Furnished,Land area,3,0,0,Serviced Residence
Cheras,435000,2,1,923.023,Partly Furnished,Built-up,3,0,0,Condominium
Other,3000000,5,4,7600.0,Partly Furnished,Land area,7,0,0,Bungalow
KLCC,900000,2,1,710.01,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1300000,3,2,1281.081,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1180000,2,1,1044.044,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Ipoh,345000,2,1,1033.033,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,673600,2,2,1195.095,Unfurnished,Built-up,3,1,0,Condominium
Bangsar,1020000,3,1,1571.071,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1890000,4,2,2025.025,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar,2600000,4,2,3509.009,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,2950000,5,3,67.595,Partly Furnished,Land area,5,1,0,Semi-detached House
Mont Kiara,3260000,5,3,67.595,Partly Furnished,Land area,5,1,0,Semi-detached House
Mont Kiara,3200000,6,3,65.09,Fully Furnished,Land area,5,1,0,Semi-detached House
Mont Kiara,7200000,5,3,6230.03,Partly Furnished,Land area,5,1,0,Bungalow
Ampang,3100000,6,2,69.08,Partly Furnished,Land area,5,1,0,Bungalow
Ampang,2800000,6,2,69.08,Partly Furnished,Land area,5,1,0,Bungalow
KL City,780000,1,1,734.034,Fully Furnished,Built-up,1,0,0,Serviced Residence
Bangsar,1490000,2,1,1500.0,Fully Furnished,Built-up,3,0,0,Condominium
KL City,400000,1,1,420.02,Fully Furnished,Built-up,0,0,1,Serviced Residence
Damansara,2530000,4,3,4080.08,Unfurnished,Land area,5,1,0,Semi-detached House
Setapak,650000,2,2,2110.01,Fully Furnished,Built-up,4,0,0,Serviced Residence
Segambut,730000,2,2,1021.021,Fully Furnished,Built-up,2,0,0,Condominium
Kepong,780000,2,2,1396.096,Fully Furnished,Built-up,4,0,0,Condominium
Kepong,1300000,3,2,60.075,Partly Furnished,Land area,5,0,0,Terrace/Link House
Damansara,1300000,3,1,48.575,Fully Furnished,Land area,4,0,0,Terrace/Link House
Cheras,490000,2,2,1050.05,Unfurnished,Built-up,3,0,0,Condominium
Cheras,450000,2,2,825.025,Unfurnished,Built-up,3,0,0,Condominium
Cheras,528000,2,2,1050.05,Unknown,Built-up,3,0,0,Condominium
Taman Desa,718000,2,2,1313.013,Partly Furnished,Built-up,3,0,0,Condominium
Taman Desa,715000,2,2,1317.017,Partly Furnished,Built-up,3,0,0,Condominium
Pandan Perdana,850000,4,6,42.565,Partly Furnished,Land area,5,0,0,Terrace/Link House
Setapak,1088000,4,2,1746.046,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Sultan Ismail,780000,2,1,972.072,Fully Furnished,Built-up,2,0,0,Serviced Residence
Taman Tun Dr Ismail,1720000,3,2,1445.045,Partly Furnished,Built-up,2,1,0,Serviced Residence
Desa ParkCity,3250000,7,2,54.575,Partly Furnished,Land area,5,1,0,Terrace/Link House
Desa ParkCity,2100000,4,2,48.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
Setapak,410000,2,1,1272.072,Partly Furnished,Built-up,3,0,0,Condominium
Setapak,520000,2,1,1060.06,Partly Furnished,Built-up,3,0,0,Apartment
Taman Desa,1250000,3,2,51.08,Fully Furnished,Land area,4,0,0,Terrace/Link House
Cheras,560000,3,1,1280.08,Partly Furnished,Built-up,4,0,0,Condominium
Wangsa Maju,720000,2,2,1206.006,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1925100,2,2,1426.026,Fully Furnished,Built-up,3,1,0,Serviced Residence
Desa ParkCity,1880000,4,3,46.07,Partly Furnished,Land area,3,1,0,Terrace/Link House
Wangsa Maju,695000,2,2,1085.085,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1850000,4,5,2163.063,Fully Furnished,Built-up,3,0,0,Condominium
Setapak,590000,2,2,918.018,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bukit Jalil,580000,2,2,1404.004,Fully Furnished,Land area,3,1,0,Condominium
Mont Kiara,1800000,4,2,1878.078,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1770000,4,2,2070.07,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1880000,4,2,2070.07,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1600000,4,2,1878.078,Fully Furnished,Built-up,3,1,0,Condominium
Sri Petaling,590000,2,2,1600.0,Partly Furnished,Land area,3,0,0,Terrace/Link House
Sri Petaling,495000,2,1,1387.087,Partly Furnished,Land area,3,0,0,Condominium
Sri Petaling,510000,2,2,1387.087,Partly Furnished,Land area,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),450000,2,1,1238.038,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,1980000,4,2,48.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
Mont Kiara,1200000,4,2,1605.005,Partly Furnished,Built-up,3,1,0,Condominium
Country Heights Damansara,746000,2,1,924.024,Partly Furnished,Built-up,2,1,0,Serviced Residence
Setapak,193000,2,2,588.088,Unfurnished,Built-up,2,0,0,Flat
Mont Kiara,6800000,7,4,10200.0,Partly Furnished,Land area,6,1,0,Bungalow
Sri Hartamas,16000000,8,28,17800.0,Partly Furnished,Land area,8,1,0,Bungalow
Cheras,475000,2,1,1040.04,Fully Furnished,Land area,3,0,0,Condominium
Cheras,780000,3,2,45.57,Partly Furnished,Land area,4,0,0,Terrace/Link House
Sentul,3400,3,1,1186.086,Fully Furnished,Built-up,3,0,0,Condominium
Taman Tun Dr Ismail,1750000,3,4,59.595,Partly Furnished,Land area,4,0,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),740000,2,2,1400.0,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1950000,3,1,1626.026,Fully Furnished,Built-up,4,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),350000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Serviced Residence
Sentul,347000,2,2,850.05,Unfurnished,Built-up,3,0,0,Serviced Residence
Sri Petaling,580000,3,2,900.0,Unfurnished,Built-up,3,0,0,Condominium
Cheras,1250000,2,1,915.015,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bandar Menjalara,340000,2,1,808.008,Partly Furnished,Built-up,3,0,0,Serviced Residence
Bandar Menjalara,380000,2,1,808.008,Partly Furnished,Built-up,3,0,0,Serviced Residence
Kepong,350000,2,1,1001.001,Partly Furnished,Built-up,2,1,0,Apartment
Mont Kiara,700000,3,2,1268.068,Fully Furnished,Built-up,3,1,0,Condominium
Bukit Bintang,1600000,2,2,1468.068,Fully Furnished,Built-up,2,1,0,Condominium
KLCC,880000,1,1,883.083,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,900000,2,1,1141.041,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,3043800,3,3,2066.066,Fully Furnished,Built-up,3,1,0,Serviced Residence
Cheras,360000,2,1,902.002,Unfurnished,Built-up,3,0,0,Apartment
Ampang,280000,2,1,728.028,Partly Furnished,Built-up,3,0,0,Apartment
KL Eco City,1192744,1,1,683.083,Fully Furnished,Built-up,1,0,0,Serviced Residence
KL Eco City,2049264,2,1,1245.045,Fully Furnished,Built-up,3,0,0,Serviced Residence
KL Eco City,1190321,1,1,797.097,Partly Furnished,Built-up,1,1,0,Serviced Residence
Bukit Jalil,6900,4,2,2150.05,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bukit Jalil,5500,4,2,1879.079,Fully Furnished,Built-up,3,1,0,Condominium
Taman Desa,1800,2,1,715.015,Partly Furnished,Built-up,2,0,0,Serviced Residence
Bukit Jalil,1100000,2,2,1254.054,Fully Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,600000,2,2,1050.05,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,690000,3,2,1454.054,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,1750000,3,2,2098.098,Fully Furnished,Built-up,3,1,0,Condominium
Taman Desa,540000,1,1,715.015,Fully Furnished,Built-up,2,0,0,Serviced Residence
Taman Desa,650000,2,1,935.035,Unfurnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,520000,1,1,667.067,Partly Furnished,Built-up,1,1,0,Serviced Residence
Pantai,600000,2,1,752.052,Fully Furnished,Land area,1,0,0,Serviced Residence
Kuchai Lama,580000,2,2,1350.05,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1980000,2,2,1350.05,Fully Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,550000,3,2,1073.073,Unfurnished,Built-up,3,0,0,Condominium
Bukit Jalil,550000,3,2,1050.05,Unfurnished,Built-up,3,0,0,Condominium
Kepong,480000,2,2,1001.001,Fully Furnished,Built-up,3,0,0,Apartment
Kepong,1150000,4,4,48.575,Unfurnished,Land area,5,1,0,Terrace/Link House
Kepong,450000,2,4,43.565,Unfurnished,Land area,3,0,0,Terrace/Link House
KLCC,1700000,2,2,1299.099,Fully Furnished,Built-up,2,1,0,Serviced Residence
Mont Kiara,2500000,4,3,4000.0,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1380000,2,1,795.095,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar South,545000,1,1,560.06,Fully Furnished,Built-up,1,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),928000,3,2,1578.078,Partly Furnished,Built-up,3,1,0,Condominium
Setapak,490000,2,2,1333.033,Partly Furnished,Built-up,4,0,0,Condominium
Taman Desa,425000,2,1,940.04,Partly Furnished,Built-up,3,0,0,Condominium
City Centre,1530000,2,1,1131.031,Fully Furnished,Built-up,1,0,0,Serviced Residence
Jalan Ipoh,610000,2,1,1260.06,Fully Furnished,Built-up,3,0,0,Condominium
Titiwangsa,635000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Serviced Residence
Pantai,450000,2,1,1050.05,Fully Furnished,Built-up,3,0,0,Condominium
Pantai,1330000,3,2,1646.046,Fully Furnished,Built-up,4,1,0,Condominium
Pantai,438000,2,1,1050.05,Fully Furnished,Built-up,3,0,0,Condominium
Pantai,630000,2,1,1323.023,Fully Furnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),658000,2,2,935.035,Partly Furnished,Built-up,3,1,0,Condominium
Damansara Heights,1950000,5,2,3000.0,Partly Furnished,Land area,5,0,0,Terrace/Link House
Mont Kiara,2590000,6,3,3317.017,Partly Furnished,Built-up,4,2,0,Condominium
Bangsar,618000,2,1,1348.048,Partly Furnished,Built-up,3,0,0,Condominium
Bandar Tasik Selatan,730000,2,2,1154.054,Unfurnished,Built-up,3,0,0,Condominium
Bandar Tasik Selatan,850000,2,2,1420.02,Fully Furnished,Built-up,3,0,0,Condominium
Bandar Tasik Selatan,625000,2,1,839.039,Partly Furnished,Built-up,3,0,0,Condominium
Bandar Tasik Selatan,839000,2,2,1242.042,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,2980000,5,2,55.075,Fully Furnished,Land area,3,1,0,Terrace/Link House
Sunway SPK,2500000,3,2,60.075,Partly Furnished,Land area,4,1,0,Terrace/Link House
Setapak,1400000,2,2,2700.0,Fully Furnished,Built-up,3,0,0,Condominium
Mont Kiara,2250000,4,5,3055.055,Partly Furnished,Built-up,4,1,0,Condominium
Cheras,408000,2,1,922.022,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1320000,3,3,1756.056,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1700000,3,2,2487.087,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2930000,5,3,3729.029,Fully Furnished,Built-up,4,1,0,Condominium
Mont Kiara,2150000,4,3,2535.035,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1530000,4,2,2735.035,Fully Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1250000,3,2,1605.005,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1500000,4,2,2464.064,Fully Furnished,Built-up,4,1,0,Condominium
Mont Kiara,2250000,5,3,2906.006,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,6175000,6,5,7911.011,Fully Furnished,Built-up,7,0,0,Condominium
Setapak,390000,2,2,926.026,Fully Furnished,Built-up,2,1,0,Condominium
Taman Tun Dr Ismail,1690000,3,2,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House
Kuchai Lama,330000,2,1,1067.067,Partly Furnished,Built-up,3,0,0,Condominium
Sungai Besi,615000,2,2,1025.025,Partly Furnished,Built-up,2,1,0,Serviced Residence
Bangsar,4200000,5,3,3851.051,Partly Furnished,Built-up,4,1,0,Condominium
Cheras,890000,4,2,2700.0,Partly Furnished,Built-up,5,1,0,Terrace/Link House
Bukit Jalil,2580000,4,3,3260.06,Fully Furnished,Built-up,4,0,0,Condominium
Mont Kiara,3500000,6,2,3600.0,Partly Furnished,Land area,5,1,0,Semi-detached House
Sri Hartamas,3800000,6,5,4200.0,Partly Furnished,Land area,5,1,0,Semi-detached House
Bukit Jalil,280000,1,1,775.075,Unfurnished,Built-up,1,1,0,Condominium
Bukit Jalil,638000,2,2,1267.067,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,630000,4,3,1212.012,Partly Furnished,Built-up,4,0,0,Condominium
Jalan Klang Lama (Old Klang Road),805000,4,2,1663.063,Unfurnished,Built-up,4,0,0,Condominium
Segambut,630000,2,2,1021.021,Partly Furnished,Built-up,3,0,0,Condominium
Kepong,620000,2,3,1292.092,Partly Furnished,Built-up,3,0,0,Serviced Residence
