Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Mont Kiara,1291000,4,3,2069.069,Partly Furnished,Built-up,5,1,0,Condominium
KLCC,880000,1,1,710.01,Fully Furnished,Built-up,1,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),655000,2,2,1094.094,Partly Furnished,Built-up,3,1,0,Serviced Residence
Mont Kiara,1400000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,7975250,6,2,2975.075,Fully Furnished,Built-up,4,1,0,Serviced Residence
Mont Kiara,1100000,2,2,1200.0,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1238000,2,1,736.036,Partly Furnished,Built-up,2,0,0,Condominium
Bangsar South,750000,2,1,823.023,Partly Furnished,Built-up,2,0,0,Serviced Residence
Damansara Heights,2100000,4,2,2153.053,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1500000,2,2,1200.0,Fully Furnished,Built-up,3,0,0,Condominium
Mont Kiara,2300000,6,3,2702.002,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,990000,3,2,1313.013,Fully Furnished,Built-up,2,2,0,Serviced Residence
KLCC,3960000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,2700000,2,2,1184.084,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1900000,2,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
Desa ParkCity,5460000,9,6,7000.0,Partly Furnished,Built-up,7,1,0,Terrace/Link House
KLCC,2050000,5,2,2356.056,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar South,1121800,2,1,1200.0,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1506300,1,1,1020.02,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar,1530000,3,2,2095.095,Fully Furnished,Built-up,3,1,0,Condominium
Ampang,3680000,8,4,6300.0,Unfurnished,Land area,7,0,0,Bungalow
Sri Hartamas,14800000,6,4,8611.011,Fully Furnished,Land area,4,2,0,Bungalow
Desa ParkCity,1480000,4,2,1917.017,Partly Furnished,Built-up,3,2,0,Condominium
Bangsar South,1050000,2,2,1485.085,Fully Furnished,Built-up,3,0,0,Condominium
Other,1200019,2,1,577.077,Partly Furnished,Built-up,2,0,0,Condominium
Other,4988888,6,3,54.585,Partly Furnished,Land area,4,1,0,Terrace/Link House
Mont Kiara,1820000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1420000,4,2,1499.099,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1830000,4,2,1832.032,Partly Furnished,Built-up,4,1,0,Condominium
Other,4988888,6,3,54.585,Partly Furnished,Land area,5,1,0,Terrace/Link House
KLCC,1680000,2,3,1159.059,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,2210000,3,2,1502.002,Fully Furnished,Built-up,3,0,0,Condominium
KLCC,1420000,2,1,976.076,Fully Furnished,Built-up,2,0,0,Condominium
KLCC,3600000,5,2,3897.097,Partly Furnished,Land area,4,1,0,Serviced Residence
KLCC,1139000,1,1,751.051,Partly Furnished,Built-up,1,0,0,Condominium
KLCC,2930000,2,2,1114.014,Fully Furnished,Built-up,2,0,0,Serviced Residence
Damansara Heights,1620000,2,1,1194.094,Partly Furnished,Built-up,1,1,0,Serviced Residence
Desa ParkCity,1300000,3,2,1367.067,Partly Furnished,Built-up,2,1,0,Condominium
Country Heights Damansara,8000000,7,6,10600.0,Partly Furnished,Land area,7,0,0,Bungalow
Damansara Heights,6500000,4,6,7880.08,Partly Furnished,Land area,5,1,0,Bungalow
Bangsar,1600000,2,2,2400.0,Partly Furnished,Built-up,3,0,0,Townhouse
Desa ParkCity,1730000,3,2,1690.09,Fully Furnished,Built-up,3,1,0,Condominium
Desa ParkCity,1500000,2,2,1346.046,Fully Furnished,Built-up,3,1,0,Condominium
Desa ParkCity,1500000,3,2,1400.0,Partly Furnished,Built-up,3,1,0,Condominium
