Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KL City, Kuala Lumpur","RM 435,000",3,2,2,Condominium (Intermediate),Built-up : 926 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur","RM 810,000",5+1,4,1,Condominium (Intermediate),"Built-up : 1,800 sq. ft.",Unfurnished
"Sungai Besi, Kuala Lumpur","RM 270,000",3,2,1,Apartment,"Built-up : 1,120 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 360,000",3+1,2,1,Condominium,"Built-up : 1,101 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 260,000",3,2,1,Apartment,Built-up : 830 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 470,000",3,2,1,Condominium (Intermediate),"Built-up : 1,025 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur","RM 300,000",3,2,1,Condominium (Intermediate),Built-up : 850 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 430,000",3+1,2,1,Condominium (Corner),"Built-up : 1,465 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 308,000",3,2,1,Apartment (Intermediate),Built-up : 748 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,280,000",2+1,2,2,Condominium (Intermediate),"Built-up : 1,389 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 800,000",4,3,2,Condominium,"Built-up : 1,262 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 910,000",1+1,1,1,Apartment,Built-up : 694 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,300,000",3,2,2,Condominium,"Built-up : 1,400 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,300,000",3,2,2,Condominium,"Built-up : 1,389 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,768,000",4,4,3,Condominium (Corner),"Built-up : 1,777 sq. ft.",Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 380,000",3,2,1,Serviced Residence,Built-up : 805 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 380,000",3,2,1,Apartment (Corner),Built-up : 968 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 7,224,000",2+1,4,2,Serviced Residence (Corner),"Built-up : 2,408 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,050,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,170 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 2,150,000",5,5,3,Semi-detached House,Land area : 4000 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 980,000",3,4,2,Condominium,"Built-up : 1,870 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur","RM 1,100,000",4,4,2,Condominium,"Built-up : 1,672 sq. ft.",Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 690,000",3+1,2,1,Condominium (Intermediate),Land area : 1245 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 1,300,000",5,5,2,2.5-sty Terrace/Link House,Land area : 2240 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 990,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,710 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,300,000",4+1,3,3,2.5-sty Terrace/Link House (Intermediate),Land area : 22 x 75 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 3,300,000",7,5,24,Semi-detached House,Land area : 8300 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 3,500,000",5,5,3,Semi-detached House,Land area : 11700 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 470,000",3,2,2,Serviced Residence,"Built-up : 1,009 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 238,000",3,1,1,Flat,Built-up : 750 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur","RM 1,480,000",3,2,3,Condominium (Corner),"Built-up : 2,450 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 635,000",3,2,1,Condominium,"Built-up : 1,001 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 690,000",3+1,3,1,Condominium,"Built-up : 1,345 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 860,000",3+1,3,2,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 678,000",3+1,3,2,Condominium,"Built-up : 1,345 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 630,000",3,2,1,Condominium,"Built-up : 1,079 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 1,230,000",3+1,3,2,Condominium (Corner),"Built-up : 1,757 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 748,000",3+1,3,2,Condominium,"Built-up : 1,345 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 850,000",3+1,3,3,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 850,000",3+1,3,2,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 570,000",3,2,1,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 730,000",6,3,2,Condominium,"Built-up : 2,500 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,280,000",4,4,2,Condominium,"Built-up : 1,782 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 690,000",4,2,3,Condominium,"Built-up : 1,212 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,560,000",3+1,4,4,Condominium,"Built-up : 2,638 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,180,000",3+1,4,2,Condominium,"Built-up : 1,605 sq. ft.",Fully Furnished
"OUG, Kuala Lumpur","RM 3,350,000",7,7,5,Bungalow,Land area : 7425 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 4,300,000",7,5,6,Bungalow,Land area : 8500 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 3,600,000",6+1,5,4,Bungalow,Land area : 8000 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 5,400,000",6+1,7,5,Bungalow,Land area : 10060 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 430,000",3,2,1,Condominium (Corner),Built-up : 850 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 498,000",3,2,1,Condominium (Intermediate),"Built-up : 1,250 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur","RM 220,000",3,1,1,Flat (Corner),Built-up : 600 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,750,000",5,4,4,2.5-sty Terrace/Link House,Land area : 1760 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 650,000",3+1,3,2,Condominium (Corner),"Built-up : 1,690 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 650,000",3+1,3,1,Condominium (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 446,000",3,2,1,Condominium (Intermediate),Built-up : 850 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 480,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 365,000",3,2,1,Apartment (Intermediate),"Built-up : 1,007 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,090,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,996 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 450,000",3,2,1,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 470,000",3,2,1,Condominium (Corner),"Built-up : 1,326 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 484,000",3,2,1,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 580,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,381 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 636,000",3+1,2,1,Condominium (Intermediate),"Built-up : 1,381 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 489,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 900,000",4+1,4,3,Condominium,"Built-up : 1,890 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 850,000",3+2,3,4,Condominium,"Built-up : 1,780 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 668,000",3,3,3,Condominium (Corner),"Built-up : 1,345 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 580,000",3,2,1,Condominium (Intermediate),"Built-up : 1,163 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 700,000",3,2,1,Condominium (Corner),"Built-up : 1,290 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 630,000",3+1,3,3,Condominium (Corner),"Built-up : 1,421 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur","RM 750,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,356 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 658,000",3+1,3,2,Condominium (Corner),"Built-up : 1,690 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur","RM 719,000",3+1,3,2,Condominium (Corner),"Built-up : 1,577 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 620,000",3,2,2,Condominium (Intermediate),"Built-up : 1,442 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 3,380,000",5+1,5,4,Semi-detached House (Corner),Land area : 4843 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 620,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 1,100,000",3+1,3,2,Condominium (Corner),"Built-up : 1,535 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,800",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 580,000",3,2,2,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 598,000",2+1,2,2,Condominium (Intermediate),Built-up : 958 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur","RM 545,000",3,2,1,Condominium (Intermediate),"Built-up : 1,202 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",4+1,5,3,Condominium (Corner),"Built-up : 3,900 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 580,000",3+1,3,1,Condominium (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 500,000",3,2,1,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 508,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,500,000",5+1,6,4,Semi-detached House (Intermediate),Land area : 4941 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 780,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,378 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 618,000",3,5,2,Condominium (Corner),"Built-up : 1,615 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 590,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,442 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 670,000",3,3,2,Condominium (Corner),"Built-up : 1,625 sq. ft.",Fully Furnished
"Jalan Kuching, Kuala Lumpur","RM 650,000",3,2,2,Condominium (Intermediate),"Built-up : 1,389 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,100,000",3+1,4,2,Condominium (Corner),"Built-up : 1,520 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 600,000",3,2,2,Condominium (Corner),"Built-up : 1,290 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 600,000",3,2,1,Condominium (Corner),"Built-up : 1,450 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 480,000",Studio,1,1,Serviced Residence (Intermediate),Built-up : 563 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,300,000",3+1,4,3,Condominium (Corner),"Built-up : 1,799 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 609,000",3,2,2,Condominium (Intermediate),"Built-up : 1,507 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 530,000",3,2,2,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 900,000",4,3,2,Condominium (Corner),"Built-up : 1,890 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 540,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 990,000",4+1,4,2,Condominium (Intermediate),"Built-up : 1,851 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 630,000",3+1,2,1,Condominium (Intermediate),"Built-up : 1,321 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 820,000",4+1,5,2,Condominium (Corner),"Built-up : 2,890 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 530,000",3+1,3,1,Condominium (Intermediate),"Built-up : 1,432 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 515,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,432 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 568,000",3,2,1,Condominium (Corner),"Built-up : 1,205 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 599,000",3,2,2,Condominium (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 868,000",4+1,4,2,Condominium (Corner),"Built-up : 2,998 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 2,700,000",5,5,4,3-sty Terrace/Link House,Land area : 1870 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,850,000",5,5,4,3-sty Terrace/Link House,Land area : 22x85 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 580,000",4+2,3,2,2-sty Terrace/Link House (EndLot),Land area : 20x70 1400 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 628,000",3,3,1,Condominium (Corner),"Built-up : 1,614 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur","RM 649,000",3,1,2,Condominium (Corner),"Built-up : 1,577 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 720,000",4,3,2,Condominium,"Built-up : 1,893 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 480,000",3,2,1,Condominium (Intermediate),Built-up : 800 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 448,000",3,2,1,Condominium (Intermediate),"Built-up : 1,325 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 620,000",3,2,4,Condominium (Corner),"Built-up : 1,100 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 690,000",3,2,2,Condominium (Corner),"Built-up : 1,706 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 600,000",3,3,1,Condominium (Intermediate),"Built-up : 1,507 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 580,000",3,2,2,Condominium,"Built-up : 1,381 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,180,000",3+1,4,3,Condominium (Corner),"Built-up : 1,799 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 590,000",3,3,1,Condominium (Intermediate),"Built-up : 1,507 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 500,000",3+1,3,1,Condominium (Intermediate),"Built-up : 1,432 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 650,000",3+1,3,1,Condominium (Corner),"Built-up : 1,561 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 850,000",3,2,1,Serviced Residence (Corner),"Built-up : 1,206 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 688,000",3+1,3,2,Condominium (Corner),"Built-up : 1,432 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 540,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur","RM 680,000",3,3,2,Condominium (Corner),"Built-up : 1,625 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 550,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 599,000",3,2,1,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,000,000",3+1,5,3,Condominium (Corner),"Built-up : 2,111 sq. ft.",Fully Furnished
"OUG, Kuala Lumpur","RM 1,100,000",5,2,2,2-sty Terrace/Link House,Land area : 1650 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur","RM 980,000",4,3,2,2-sty Terrace/Link House,Land area : 22x75 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,645,000",4,3,3,2-sty Terrace/Link House,Land area : 22x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,000,000",3+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 870,000",4,3,2,2-sty Terrace/Link House,Land area : 1650 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 320,000",3,2,2,Townhouse,"Built-up : 1,221 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 460,000",3,2,2,Condominium,"Built-up : 1,267 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 415,000",3,2,3,Condominium,Built-up : 800 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,100,000",5,3,3,2-sty Terrace/Link House,Land area : 1892 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 650,000",4,2,2,1.5-sty Terrace/Link House,Land area : 1540 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 375,000",2,2,1,Serviced Residence (Intermediate),Built-up : 722 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 410,000",3,2,2,Condominium (Corner),"Built-up : 1,287 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",4,4,2,Condominium,"Built-up : 1,483 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 670,000",4,3,2,Condominium,"Built-up : 1,440 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,572,800",3+1,5,2,Condominium (Corner),"Built-up : 2,144 sq. ft.",Partly Furnished
"OUG, Kuala Lumpur","RM 580,000",4,2,2,1-sty Terrace/Link House,Land area : 20x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,200,000",5+1,6,3,Condominium,"Built-up : 4,100 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 530,000",1,1,1,Condominium,Built-up : 753 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 550,000",3,2,4,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,211,560",3+1,5,2,Condominium (Corner),"Built-up : 2,431 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 448,000",3,2,1,Condominium (EndLot),"Built-up : 1,200 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 1,600,000",5,6,2,2.5-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,410,000",3+1,5,2,Condominium (Corner),"Built-up : 2,411 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 335,000",3,2,1,Serviced Residence,Built-up : 980 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 375,000",2,1,1,Serviced Residence (Intermediate),Built-up : 430 sq. ft.,Unfurnished
"Brickfields, Kuala Lumpur","RM 286,000",Studio,1,1,Serviced Residence (SOHO),Built-up : 250 sq. ft.,Fully Furnished
"Setiawangsa, Kuala Lumpur","RM 355,000",3,2,1,Apartment,"Built-up : 820,000 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 600,000",3,2,1,Condominium (Corner),"Built-up : 1,015 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 765,000",4,3,3,Condominium,"Built-up : 1,450 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 320,000",3,2,1,Apartment,Built-up : 730 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 450,000",3,2,1,Condominium,"Built-up : 1,129 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 328,000",3,2,1,Condominium,Built-up : 950 sq. ft.,Unfurnished
"Sri Petaling, Kuala Lumpur","RM 420,000",3,2,1,Condominium,Built-up : 946 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 430,000",3+1,2,1,Condominium (Intermediate),"Built-up : 1,215 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 670,000",4,2,2,Condominium,"Built-up : 1,550 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 400,000",4,3,3,Condominium,"Built-up : 1,272 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 525,000",4,2,2,Condominium,"Built-up : 1,450 sq. ft.",Unfurnished
"Sungai Besi, Kuala Lumpur","RM 527,000",4,2,1,Condominium,"Built-up : 1,109 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,250,000",5,3,6,2-sty Terrace/Link House,Land area : 42x80 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 420,000",3,2,1,Apartment (Intermediate),Built-up : 850 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,150,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,707 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,320,000",3+2,4,3,Condominium (Corner),"Built-up : 2,128 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,388,000",3+1,4,4,Condominium (Corner),"Built-up : 2,638 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 1,250,000",3+1,3,2,Condominium,"Built-up : 1,757 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 1,180,000",3+1,3,2,Condominium,"Built-up : 1,757 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",4+1,6,3,Condominium (Corner),"Built-up : 2,495 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 1,100,000",5,3,6,2-sty Terrace/Link House,Land area : 3080 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 730,000",4,3,4,2-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 730,000",4,3,4,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 780,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 680,000",4,3,4,2-sty Terrace/Link House,Land area : 1800 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,650,000",3+1,3,2,Condominium (Corner),"Built-up : 1,834 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 500,000",3,2,1,Condominium (Intermediate),"Built-up : 1,150 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,300,000",2,2,2,Condominium,"Built-up : 1,150 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,200,000",1+1,1,1,Condominium,"Built-up : 1,100 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 638,000",3,2,4,1-sty Terrace/Link House,Land area : 20x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 620,000",3,2,4,2-sty Terrace/Link House (Intermediate),"Built-up : 1,200 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 590,000",3,2,4,2-sty Terrace/Link House (Intermediate),"Built-up : 1,000 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 620,000",3,2,4,2-sty Terrace/Link House,Land area : 0 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 650,000",3+1,3,2,Condominium,"Built-up : 1,588 sq. ft.",Partly Furnished
"Titiwangsa, Kuala Lumpur","RM 600,000",3,2,1,Serviced Residence,"Built-up : 1,100 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 428,000",3,2,2,Condominium,Built-up : 923 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 630,000",3,2,2,Condominium,"Built-up : 1,260 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 318,000",3,2,1,Apartment (EndLot),Built-up : 838 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur","RM 3,800,000",5+1,6,4,Semi-detached House (Intermediate),Land area : 45x90 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 800,000",4,4,1,Townhouse (Intermediate),"Built-up : 2,464 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 1,800,000",2,2,2,Condominium (Corner),"Built-up : 1,800 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,400",3,2,1,Condominium (Intermediate),Built-up : 950 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,200,000",1+1,2,1,Serviced Residence,"Built-up : 1,076 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,678,800",2,2,1,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 670,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 20x65 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,050,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,798 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 400,000",3,2,4,2-sty Terrace/Link House,Land area : 1000 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 345,000",3,2,2,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 1,030,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,570 sq. ft.",Unfurnished
