Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur","RM 1,900,000",2,2,1,Condominium,Built-up : 915 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,090 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,1,Serviced Residence,Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",6,5,3,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,050,000",4+1,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4,4,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,251,800",2+1,4,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 998,000",5+1,5,4,3-sty Terrace/Link House (EndLot),Land area : 1650 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,550,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 780,000",3,3,2,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,380,000",2,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,798,000",3+1,3,2,3-sty Terrace/Link House (Intermediate),"Built-up : 2,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,268,000",3,3,1,Condominium (Corner),"Built-up : 1,619 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,600,000",3+1,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,200,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,330,000",2+1,3,1,Serviced Residence (Corner),"Built-up : 2,789 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,600,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,950,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 638,000",3+1,2,4,1.5-sty Terrace/Link House (EndLot),Land area : 27x70 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,400,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 850,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 6,500,000",6,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",4,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 3,800,000",4+1,5,4,Bungalow (Corner),"Built-up : 4,067 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+2,5,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Unknown
"Segambut, Kuala Lumpur","RM 635,000",3+1,4,2,Condominium (Corner),"Built-up : 1,643 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 5,070,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,207,000",Studio,1,1,Serviced Residence (Intermediate),Built-up : 685 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,177,000",2,1,1,Serviced Residence (Intermediate),Built-up : 717 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 700,000",3,2,2,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,785,400",5+1,5,3,Condominium (Duplex),"Built-up : 3,907 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",2,2,2,Condominium,Built-up : 871 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 960,000",3+1,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Unfurnished
"KL City, Kuala Lumpur","RM 490,000",4,2,2,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 4,200,000",5+1,5,3,Condominium (Corner),"Built-up : 3,709 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,1,1,Serviced Residence (EndLot),"Built-up : 1,050 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,380,000",4+1,4,3,Condominium (Corner),"Built-up : 2,454 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,210,000",5+1,6,4,3-sty Terrace/Link House (Intermediate),"Built-up : 3,400 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7,6,Bungalow (Intermediate),Land area : 8113 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,900,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",2,2,2,Serviced Residence,"Built-up : 1,195 sq. ft.",Partly Furnished
